shop_name,id,closest_mrt,distance_to_mrt
TRUEDAN Shilin Dabei Shop,ChIJBQzBNKWuQjQRzneJh-EIchE,士林站出口2,317.466113075703
50 Lan,ChIJnynK9QipQjQRUy6tUFop-p0,西門站出口1,60.091356828205846
Huangjin Bubble Tea,ChIJb22yusWrQjQRFj_ymKyFTk0,忠孝敦化站出口2,33.82951741052985
Kebuke,ChIJzfpsbHOpQjQRecwb2WROPBQ,台大醫院站出口4,143.5801538028229
Milksha Taipei Xihu,ChIJXwQ9QvetQjQRUQk_8PqJsTQ,西湖站出口1,263.2810848631748
泰讚了 thai like tea 公館店,ChIJpxbhBsupQjQR8v3U18_-sYg,公館站出口4,142.6525681413285
天仁茗茶 京站小碧潭店,ChIJfajCLhkCaDQRLXqxelEUIVw,小碧潭站出口1,102.36209321968886
Nap Tea New Taipei Lehua,ChIJ-xRHzJmpQjQRIlLnN43SSkU,頂溪站出口1,510.02291592791846
thirtea三十茶板橋江子翠店,ChIJwRYFTqepQjQRqDWN_cwsPmU,江子翠站出口4,145.76949112635288
清心福全新莊雙鳳店-珍珠奶茶手搖飲料專賣店,ChIJ-bx4eY6nQjQR_HeFc6yQGtk,丹鳳站出口1,601.358157862938
Co Co,ChIJA8Pf2mKoQjQROCrWahv3ajI,迴龍站出口3,976.5397733756918
功夫茶 KUNGFUTEA 龜山樂善店,ChIJ76vw9gynQjQRhVSiDJt67qI,迴龍站出口1,3251.57446157735
DrinkStore水雲朵台北復興店,ChIJW7U7BECrQjQR8mA0tpOl2_U,南京復興站出口7,108.10043860376645
功夫茶 KUNGFUTEA 新莊榮富店(榮富國小對面),ChIJxySX6LGpQjQRS-Udt6GBXJg,幸福站出口1,1216.162842114253
DaDaoChen Bubble Tea,ChIJD0t07hWpQjQRWQ-mV4ooUA8,北門站出口3,479.3383262146275
Kebuke Zhonghe Jingxin,ChIJB0vYd5UDaDQRI1D7nk4jfVw,南勢角站出口4,322.9514887485234
MACU Tea Songjiang Nanjing,ChIJx3ZYWlKpQjQR0Rz1xFiRPtU,松江南京站出口5,138.5472059743087
吳大牛焦糖茶飲 新店三民店,ChIJL8xtfP0DaDQRsxHit_Pph24,小碧潭站出口1,603.1549205706497
Milksha National Taiwan Normal University,ChIJ39xxFqOpQjQRrQuexo65duU,台電大樓站出口3,362.45694370913617
三良品茶.pingtea原創手作,ChIJnbQMTbmrQjQRet_CETVF2ic,松山站出口2,504.03780465903293
Comebuy,ChIJG9rOG3OpQjQRZ07IzwdpY4Y,台北車站M6,102.01937519769477
Nap Tea Taipei Ningxia,ChIJE6QyVRWpQjQR_G_VjzLW1bE,雙連站出口1,570.5902601339945
天仁茗茶 CHAFFEE 誠品南西店,ChIJWxJ4Jg2pQjQRflyqsAfz3LE,中山站出口1,38.92878677948148
Hua Da Milk Tea (Mega City Banqiao Store),ChIJDQ2mkhioQjQRrQQD1KECxPs,板橋站出口4,224.2314316464332
誠正茶苑 頂溪店 新北永和必喝手搖飲,ChIJBz_rYnupQjQRI6HEFPkak-E,頂溪站出口1,106.45581349314126
儒記Rooji-內湖店,ChIJVTN0Qv-tQjQR-qiyE_4NoFw,港墘站出口2,305.98007927414375
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),ChIJKaJqkO2pQjQRRu4QOdTwmlc,中正紀念堂站出口2,174.4448472528331
鬍子茶Who's Tea - 台北林森店,ChIJ7VpjuLOpQjQRBVkKqiC7dJ8,善導寺站出口4,524.8690278589153
Ten Ren's Tea,ChIJ1Sg0iIOuQjQRxI1SbcRsN7A,明德站出口1,1278.536781608544
錨起來喝(台北晴光店),ChIJh6mw20SpQjQRwYbNXy6-G9A,中山國小站出口1,231.00847447331049
